year,asset_class,commitment,drawdown,distribution,net
2021,사모벤처,1300,900,120,780
2021,부동산,500,470,40,430
2021,인프라,400,170,20,150
2022,사모벤처,1500,1100,350,750
2022,부동산,500,430,50,380
2022,인프라,500,230,20,210
2023,사모벤처,1800,1250,600,650
2023,부동산,600,430,100,330
2023,인프라,600,290,30,260
2024,사모벤처,2000,1500,850,650
2024,부동산,500,450,150,300
2024,인프라,700,350,80,270
2025,사모벤처,2200,1750,1100,650
2025,부동산,500,500,180,320
2025,인프라,800,500,90,410
2026,사모벤처,2600,1800,1300,500
2026,부동산,500,450,300,150
2026,인프라,900,600,250,350
